"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"223749_at",0.575455000000001,6.1154325,2.66836823732006,0.025126062119287,0.999986929681086,-3.91522992976862
"218002_s_at",-0.632444999999999,5.919865,-2.66575114605047,0.025235352106798,0.999986929681086,-3.91634155195602
"202679_at",-0.524285000000003,10.4514325,-2.66310667983033,0.025346271548646,0.999986929681086,-3.91746537559645
"205207_at",1.22754,10.14548,2.65419177503837,0.0257238273217769,0.999986929681086,-3.92125819303481
"1559139_at",-0.5236425,4.85309875,-2.64779458197031,0.0259982386132706,0.999986929681086,-3.92398386370959
"203837_at",0.615897499999999,6.67721875,2.64589611761511,0.0260802395983201,0.999986929681086,-3.92479338897845
"211958_at",0.660547499999998,8.45567375,2.64156615799725,0.0262682395102248,0.999986929681086,-3.92664082346927
"231842_at",0.958450000000001,6.8759525,2.63398203009172,0.0266008198339902,0.999986929681086,-3.92988034308965
"213238_at",0.579985000000004,9.070975,2.63246336616982,0.0266679234532326,0.999986929681086,-3.93052958876646
"222802_at",0.784957499999999,7.85977875,2.63206193070879,0.0266856896737599,0.999986929681086,-3.93070123782686
"214725_at",0.514097500000001,2.92074875,2.6295932579628,0.0267952068277771,0.999986929681086,-3.93175709724225
"241036_at",-0.509457499999998,5.42013875,-2.62410420903968,0.0270403372917156,0.999986929681086,-3.9341065287819
"238577_s_at",-0.8592025,5.31632375,-2.62371475547052,0.0270578148920396,0.999986929681086,-3.93427331468727
"236599_at",0.5449625,7.76478625,2.62345515120701,0.0270694715163617,0.999986929681086,-3.93438449853479
"227419_x_at",0.641649999999998,10.71995,2.61933319981579,0.0272552306018977,0.999986929681086,-3.9361505748049
"232596_at",0.690787499999997,6.49577875,2.61816091950808,0.0273082937833564,0.999986929681086,-3.93665309224153
"1554485_s_at",-0.588082499999999,4.72037125,-2.61679477254256,0.0273702632167185,0.999986929681086,-3.93723885130164
"220030_at",0.594387499999998,4.54577875,2.61140148167981,0.0276162887243016,0.999986929681086,-3.93955275934622
"228904_at",-0.505627499999996,9.14745625,-2.60913068262167,0.0277205385524255,0.999986929681086,-3.94052769692874
"214577_at",0.55805,9.6135075,2.60789443271881,0.0277774593216408,0.999986929681086,-3.94105863502434
"215388_s_at",0.801447500000002,8.88240625,2.60761371021568,0.0277904009847514,0.999986929681086,-3.94117921497645
"209442_x_at",0.528857499999999,6.61612125,2.60485218138033,0.0279180338814366,0.999986929681086,-3.94236571604404
"222484_s_at",-0.758467499999999,6.01810625,-2.60346063392809,0.0279825713645384,0.999986929681086,-3.94296382599365
"214136_at",-0.796325,5.312685,-2.60249180215055,0.0280275923988607,0.999986929681086,-3.94338033526643
"220076_at",0.517277500000001,5.12498625,2.60172757807215,0.0280631566896267,0.999986929681086,-3.94370893365995
"244631_at",-0.7270675,6.18410875,-2.60114360935508,0.0280903630374918,0.999986929681086,-3.94396005723288
"223122_s_at",-2.1131875,9.11033125,-2.60039557959964,0.0281252514265466,0.999986929681086,-3.94428177072396
"238861_at",-0.5349475,4.63069875,-2.5993872966209,0.0281723469016173,0.999986929681086,-3.94471548328534
"205535_s_at",0.529365000000001,6.7636225,2.59796981942277,0.028238689033257,0.999986929681086,-3.9453253445675
"206385_s_at",1.0157725,5.50417125,2.58960168367225,0.0286335468238886,0.999986929681086,-3.94892886591555
"1554500_a_at",0.618872499999998,5.59127125,2.5889445915181,0.0286647856457235,0.999986929681086,-3.94921205519588
"229890_at",0.612509999999999,6.999695,2.58197189749067,0.0289983858526603,0.999986929681086,-3.95221914981815
"205792_at",-1.50299,9.19583,-2.58005305113759,0.0290908713289821,0.999986929681086,-3.95304734036614
"211959_at",0.557024999999998,12.3018625,2.58003466615855,0.029091758884462,0.999986929681086,-3.95305527684405
"228407_at",1.58755,12.454575,2.57838770508086,0.0291713779143268,0.999986929681086,-3.9537663463539
"204931_at",0.786175000000001,5.492305,2.57078636684389,0.0295416862607654,0.999986929681086,-3.95705087612728
"1559433_at",-0.7412575,5.17401875,-2.56743837373637,0.0297062770599023,0.999986929681086,-3.95849893153893
"235498_at",-0.6023325,3.98784125,-2.5644884133517,0.029852060539444,0.999986929681086,-3.95977553387652
"210613_s_at",0.545329999999998,8.143165,2.56442698289543,0.0298551039552626,0.999986929681086,-3.95980212502496
"204994_at",-0.503925000000001,6.891925,-2.56374299489954,0.0298890113810362,0.999986929681086,-3.96009821928424
"203706_s_at",0.8031925,10.01690375,2.55916190623439,0.0301171055516689,0.999986929681086,-3.9620822511746
"237466_s_at",1.57893,7.326075,2.5591249960994,0.0301189503747642,0.999986929681086,-3.96209824304443
"241954_at",-0.509585000000001,5.34044,-2.55766323250102,0.0301921024240542,0.999986929681086,-3.96273165605472
"213348_at",-0.6327775,7.15190875,-2.55762798272293,0.0301938686455778,0.999986929681086,-3.96274693250141
"218093_s_at",-0.6599825,8.25782125,-2.55517855654147,0.0303168527156826,0.999986929681086,-3.96380868508366
"227145_at",1.39064,9.5901225,2.5545840874031,0.0303467760795894,0.999986929681086,-3.96406643710233
"226018_at",-0.55438,8.5388625,-2.55001634314283,0.0305776866438947,0.999986929681086,-3.96604781328844
"244521_at",-0.993357499999998,4.83662375,-2.54939894530944,0.0306090320585485,0.999986929681086,-3.9663157443278
"1560826_at",0.552630000000001,6.4562475,2.54924298955712,0.0306169550440403,0.999986929681086,-3.96638342863919
"230290_at",1.541925,10.2429375,2.54716120808266,0.0307229118353004,0.999986929681086,-3.9672870878386
"219033_at",0.699710000000001,6.76242,2.53805686559381,0.0311906190676529,0.999986929681086,-3.97124285467983
"209286_at",0.550067500000001,10.21526625,2.53181432958947,0.0315154132784977,0.999986929681086,-3.97395869947323
"227408_s_at",0.581035,10.2731825,2.53115548550089,0.031549888819586,0.999986929681086,-3.97424549835129
"229461_x_at",0.608294999999998,9.38583,2.52928561737618,0.0316479391842266,0.999986929681086,-3.97505963511584
"220227_at",0.626097499999999,7.26625625,2.52777578808606,0.0317273320850727,0.999986929681086,-3.97571719670477
"230418_s_at",0.658325,5.5143325,2.525935599015,0.0318243654628376,0.999986929681086,-3.97651885980065
"218899_s_at",-0.9106425,6.67136875,-2.52151829822643,0.0320585005704136,0.999986929681086,-3.97844421739425
"242577_at",-0.727197500000001,4.44058625,-2.52136750970242,0.0320665232458814,0.999986929681086,-3.97850996599054
