Gene_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,Is_Significant,Gene_Class
HEATR5A,435.0753647054308,7.509473208677932e-6,0.00144262194733905,0.33164878249136936,0.9513417085123096,FALSE,Not Significant
HEATR5A-DT,0.8294486763634952,-7.930489185212396e-7,0.001442693741495261,0.6137471976344427,NA,FALSE,Not Significant
HEATR5B,659.7754403472056,-3.0834967573388625e-7,0.0014425941512410095,0.9700995071887768,0.9979330025686255,FALSE,Not Significant
HEATR6,724.6364465979384,8.796909254172307e-6,0.0014425523640750409,0.40785913703940607,0.9665463859007787,FALSE,Not Significant
HEATR6-DT,2.225131856198806,1.0156578905687946e-8,0.0014426926784443291,0.9942329262145322,NA,FALSE,Not Significant
HEATR9,0.1652471593545759,-3.3994319845113866e-7,0.001442695011637504,0.6821496468499468,NA,FALSE,Not Significant
HEBP1,1539.2623585944668,-3.881647497872023e-6,0.0014425768223490087,0.6761436237033016,0.9802205185694565,FALSE,Not Significant
HEBP2,903.8551028406589,-1.1509681953555425e-5,0.0014426805182710142,0.02727403585864627,0.7118140674543022,FALSE,Not Significant
HECA,2006.6843208057521,-7.042101446175854e-6,0.0014426241799635226,0.35173095166663737,0.9547980821061679,FALSE,Not Significant
HECTD1,2759.409221416827,9.839541003021858e-6,0.001442638208565846,0.17393054401569324,0.915123243344228,FALSE,Not Significant
HECTD2,347.98832820295615,3.9724663166507075e-6,0.0014426297396438225,0.5714318599401077,0.9750268195238267,FALSE,Not Significant
HECTD2-AS1,0.04677517867277066,1.3410621272753433e-7,0.0014426950129504724,0.9648159458037373,NA,FALSE,Not Significant
HECTD3,2634.8368256129643,-1.1039202175704431e-6,0.0014424364035834677,0.9348357511864179,0.9970131946745274,FALSE,Not Significant
HECTD4,2094.033609692285,-3.2219583132367844e-6,0.0014426450667493628,0.5966391774051147,0.9769765506027148,FALSE,Not Significant
HECW1,3.5569119118095522,8.012893698679113e-8,0.0014426933145864481,0.9365190537900498,NA,FALSE,Not Significant
HECW2,293.53853772174426,-7.5132036153632446e-6,0.0014426770151215226,0.09376988011184183,0.8726625074420079,FALSE,Not Significant
HECW2-AS1,260.31738392785894,-8.469859566063881e-7,0.0014426831299442404,0.7703340454665032,0.9820510132960961,FALSE,Not Significant
HEG1,3018.4271543512336,1.5658089082109186e-6,0.0014426583471590332,0.761677224403799,0.9820510132960961,FALSE,Not Significant
HEIH,870.3097970129381,-4.154264252998724e-6,0.0014426273833250296,0.560026216762282,0.9749914721482018,FALSE,Not Significant
HELB,30.03731366957944,-2.2040899308335536e-6,0.00144267775898617,0.5372824317872865,0.9749914721482018,FALSE,Not Significant
HELLS,115.59637147348613,-1.923854903443738e-6,0.0014426744392341457,0.612063247109823,0.9795409913114117,FALSE,Not Significant
